report_id,reported_at,resolved_at,issue_type,severity,lat,lon,street_name,channel,estimated_impact_cost,district_hint
MR200071,"Jan 15, 2024 01:49AM",01/27/2024 19:20:00,unsafe crossing,3,37.80557881385996,-122.445104119912,Union Blvd,app,1002.23,D11
MR214885,2025-08-06T22:40:54Z,2025-08-15T11:22:51Z,pothole near crossing,5,37.705564889031116,-122.365859827784,Broadway,phone,646.11,D05
MR200073,2024-07-07T23:22:19Z,07/11/2024 08:06:42,Unsafe Crossing,5,37.71535,-122.35213,Transit Way,phone,1643.98,D04
MR200074,2025-06-09T22:54:16Z,2025-06-11T07:00:43Z,missing sign,2,37.708,-122.52924,Maple Dr,email ,244.24,D08
MR200075,2025-02-03T03:30:04Z,2025-02-17T12:25:49Z,broken traffic light,3,37.695,-122.37383,Market St,web,2030.22,D02
MR200076,2025-08-13T12:25:05Z,08/16/2025 18:11:19,pothole near crossing,2,37.8177,-122.4144,Union Blvd,,431.92,D11
MR200077,2025-11-06T18:35:15Z,"Nov 09, 2025 02:40PM",sidewalk obstruction,1,37.70798368870346,-122.501680108569,Pine Ave,app,191.33,D02
MR200078,"Sep 02, 2025 05:00AM",2025-09-06T01:58:37Z,blocked lane,5,37.772392230306664,-122.469803913484,Hillcrest Ave,phone,2411.09,D06
MR200079,2025-08-20T02:49:44Z,,missing sign,2,,-122.434487384119,Harbor Ave,app,USD 339.68,D03
MR200080,15-03-2025 15:49,03/16/2025 12:41:00,missing sign,2,37.707605328955005,-122.521999898354,Pine Ave,phone,309.73,D01
MR200081,22-08-2025 04:45,2025-08-27T20:08:19Z,POTHOLE NEAR CROSSING,3,37.72093460377428,,Union Blvd,web,466.55,D02
MR200082,2025-10-04T17:13:02Z,2025-10-10T01:46:09Z,blocked lane,4,37.686917625990226,-122.411330055726,Hillcrest Ave,,2115.51,D03
MR200083,2024-05-29T22:38:58Z,2024-06-01T19:26:05Z,broken traffic light,2,37.8016,-122.39335,River Rd,phone,1032.6,D12
MR200084,01/22/2024,2024-01-31T04:11:35Z,bus stop damage,4,37.80302710130941,-122.369916686192,Market St,web,610.32,D12
MR200085,2024-08-24T21:24:41Z,2024-09-04T16:21:42Z,blocked lane,4,37.75170534373286,-122.548614031629,,PHONE,2084.9,D05
MR200086,08/11/2024 17:11:00,2024-09-01T15:46:17Z,broken traffic light,2,37.76869206478187,-122.477408479906,Transit Way,web,969.25,D06
MR200087,2024-10-12T00:13:10Z,,bus stop damage,,37.818743899403145,-122.436681565671,Maple Dr,app,592.49,D11
MR200088,"Oct 22, 2024 04:23AM",,unsafe crossing,4,37.81173,-122.476153,,phone,1622.18,D10
MR200089,12/04/2024 07:27:00,,blocked lane,4,37.67947698799936,-122.486845000418,Market St,,1390.39,D01
MR200090,04/30/2025 16:33:52,2025-05-05T18:27:58Z,broken traffic light,5,37.78529,-122.37405,Hillcrest Ave,app,2365.61,D12
MR200091,09/03/2024 21:26:00,2024-03-16T22:51:07Z,broken traffic light,5,37.703003262141316,-122.386324155454,Harbor Ave,phone,2447.59,D04
MR200092,04/07/2025 18:59:00,07/10/2025,pot hole near crossing,4,37.6936,-122.398,Broadway,web,575.45,D03
MR200093,08/18/2025,2025-08-18T20:02:24Z,Sidewalk Obstruction,3,37.81903972384271,-122.479547475381,Pine Ave,app,491.54,D10
MR200094,04/17/2025,2025-04-26T14:02:11Z,Pothole Near Crossing,4,37.82715374725671,-122.427692905659,Grant St,app,USD 610.63,D11
MR200095,2025-08-13T04:31:00Z,,unsafe crossing,5,37.77653163210725,-122.522097168769,Pine Ave,app,1296.57,D08
MR200096,2025-06-04T11:06:42Z,06/10/2025,broken traffic light,3,37.81295787777775,-122.384575919373,Pine Ave,phone,1945.93,D09
MR200097,2025-05-30T03:36:59Z,,broken traffic light,4,37.70056513865656,-122.374006892326,Pine Ave,web,"~2,368",D04
MR200098,2025-07-18T03:01:27Z,29-07-2025 23:29,bus stop damage,5,37.711877635386465,-122.445740014302,Cedar Rd,,3283.43,
MR200099,2025-09-24T15:55:48Z,2025-09-27T14:03:18Z,sidewalk obstruction,3,37.6975560973219,-122.380329183016,Grant St,app,279,D04
MR200100,05/14/2024 15:06:15,27-05-2024 11:09,blocked lane,5,,-122.443731267886,Harbor Ave,web,1240.08,D11
MR200101,2025-03-13T08:23:14Z,03/30/2025 13:06:00,unsafe crossing,4,37.70460268502395,-122.42648014138,Hillcrest Ave,web,1007.47,D03
MR200102,04/16/2024,"Apr 23, 2024 04:15PM",broken traffic light,4,37.759080649436825,-122.46960450167,Harbor Ave,phone,3521.35,D06
MR200103,2025-06-07T16:15:50Z,2025-06-11T01:26:53Z,unsafe crossing,2,37.813475580114634,-122.499148657062,Market St,email,797.11,D08
MR200104,2024-06-13T10:43:00Z,"Jun 23, 2024 10:15PM",unsafe crossing,med,37.81562593054789,-122.49023081971,Market St,app,999 USD,D01
MR200105,,,broken traffic light,5,37.76018809803012,-122.472654800337,Elm St,app,1857.58,D06
MR200106,"Oct 08, 2025 11:03AM",10/17/2025 19:52:00,blocked lane,3,37.719103090061,-122.384285431501,,app,926.84,D04
MR200107,2024-07-24T08:24:05Z,,unsafe crossng,3,37.72911043611267,-122.399589168779,Pine Ave,web,1558.09,D04
MR200108,2024-11-30T09:52:29Z,05/12/2024 20:07:00,broken traffic light,5,37.691918886870155,-122.41914579608,Harbor Ave,email,1243.17,D03
MR200109,2025-10-16T13:05:04Z,,pothole near crossing,,37.81117186015846,-122.433171124832,River Rd,app,376.37,D11
MR200110,02/02/2024,2024-02-04T05:18:57Z,POTHOLE NEAR CROSSING,2,37.69616,-122.425,Cedar Rd,web,567.86,D03
MR200111,2024-05-20T16:19:44Z,05/25/2024 07:00:26,pothole near crossing,5,37.7701,-122.501611,,app,898.19,D06
MR200112,2024-03-16T16:58:57Z,2024-03-20T12:00:11Z,pothole near crossing,2,37.82089855770102,-122.470656466397,Cedar Rd,email,314.03,D10
MR200113,2025-08-22T07:23:52Z,,pothole near crossing,3,37.804494809357124,-122.427389732242,Pine Ave,app,649.28,D10
MR200114,2025-12-01T17:46:57Z,05/12/2025 20:37:00,unsafe crossing,3,-122.468653155712,37.68902149063565,Transit Way,app,1481.78,D02
MR200115,06/16/2024 13:33:05,,unsafe crossing,3,37.79988667049094,,Market St,app,1480.25,D10
MR200116,2024-02-18T15:21:46Z,,pothole near crossing,5,37.732715744554795,-122.389037104087,Cedar Rd,app,455.27,D08
MR200117,08/25/2024,2024-09-02T23:26:23Z,POTHOLE NEAR CROSSING,2,37.698034,-122.46577,Union Blvd,email,437.23,D02
MR200118,2025-10-06T16:54:14Z,,blocked lane,3,37.75285840094394,,Pine Ave,app,818.62,D06
MR200119,"Oct 09, 2024 03:43PM",10/15/2024,broken traffic light,Critical,37.7142357134597,-122.370779564706,Transit Way,app,1896.66,D04
MR200120,2025-05-29T07:46:48Z,,unsafe crossing,2,37.70523776774014,-122.362762651513,Broadway,phone,987.93,D04
MR200121,"Apr 07, 2025 05:59AM",04/12/2025 02:22:00,missing sign,1,37.70237831150745,-122.446481563017,Grant St, call center ,~152,D09
MR200122,2024-01-22T19:17:42Z,2024-01-24T18:00:20Z,missing sign,2,37.75838511551906,-122.370688146462,Elm St,web,408 USD,D08
MR200123,2024-05-20T10:44:29Z,,blocked lane,5,37.75087,-122.48615,Broadway,email ,1525.96,D06
MR200124,03/12/2024,2024-03-20T12:38:30Z,broken traffic light,5,37.79765892657237,-122.472362394898,Market St,app,3596.49,D10
MR200125,2025-08-09T15:37:26Z,2025-08-15T15:08:30Z,blocked lane,Medium,37.817400635378235,-122.377156242841,River Rd,email,"~1,790",D04
MR200126,2024-03-12T09:33:11Z,,unsafe crossing,5,37.744702739808154,-122.382524443582,Grant St,app,1555.25,D08
MR200127,2025-07-28T08:09:34Z,,unsafe crossing,3,37.699548480231066,-122.399589168779,Cedar Rd,mobile app,1143.13,D04
MR200128,2025-07-24T12:20:16Z,,missng sign,3,37.6961,-122.546922,Elm St,email,196 USD,D01
MR200129,2024-08-03T05:52:29Z,2024-08-08T00:00:23Z,pothole near crossing,5,37.68279111570401,-122.415738155138,River Rd,web,762.45,D03
MR200130,2024-06-05T02:40:49Z,06/08/2024 10:02:00,Missing Sign,3,37.74786571373807,-122.472735826193,Harbor Ave,app,288.5,D06
MR200131,not_a_date,2025-08-27T21:02:44Z,unsafe crossing,5,37.69912040584653,-122.381644548324,Maple Dr,app,960.58,D04
MR200132,2024-05-17T19:51:44Z,05/31/2024,broken traffic light,5,37.77054769021577,-122.541786300614,Pine Ave,app,1557.38,D05
MR200133,2024-07-24T10:04:08Z,,bus stop damage,,37.84144868083793,-122.405423324763,Pine Ave,web,582.89,D11
MR200134,2025-03-11T16:26:22Z,,sidewalk obstruction,4,37.72084677155742,-122.472946311756,Harbor Ave,phone,400.42,D05
MR200135,2024-02-04T19:18:42Z,2024-02-16T02:33:53Z,unsafe crossing,4,37.761103563230925,-122.483831794688,River Rd, call center ,1845.86,D03
MR200136,2024-10-18T22:47:18Z,2024-10-28T15:46:43Z,unsafe crossing,2,37.77813758633721,-122.358901228016,Grant St,web,770,D08
MR200137,02/16/2024,2024-02-20T07:12:40Z,pothole near crossing,5,37.79716207435688,-122.381814704186,Broadway,web,484.61,D12
MR200138,"Oct 23, 2025 02:39AM",,blocked lane,Medium,-122.400926157645,37.692335386044185,Transit Way,email,1440.72,D03
MR200139,2024-05-07T19:07:54Z,05/11/2024 05:25:00,broken traffic light,,37.78062911876279,-122.46803973052,Cedar Rd,app,963 USD,D06
MR200140,01/08/2025 04:20:00,2025-08-12T09:25:56Z,unsafe crossing,4,,-122.524488311511,Market St,phone,1797.43,D01
MR200141,07/02/2024,2024-07-16T18:17:25Z,Blocked Lane,5,37.761929907481516,-122.421129846782,Broadway,app,USD 1736.18,D07
MR200142,2025-11-17T16:47:57Z,2025-11-27T07:24:17Z,bus stop damage,5,37.72393337974048,-122.405990964554,Pine Ave,app,~740,D03
MR201604,2025-03-05T15:27:45Z,2025-03-09T22:29:38Z,unsafe crossing,3,37.699085909897725,-122.519358969163,Pine Ave,web,"1,097 USD",D01
MR200144,2024-12-02T08:53:21Z,2024-12-17T08:50:07Z,unsafe crossing,3,37.7838930792043,-122.477762429367,Grant St,phone,1363.99,D06
MR200145,2025-07-04T19:22:51Z,2025-07-09T23:01:44Z,pothole near crossing,3,37.76792118601538,-122.377303200351,Harbor Ave,app,422.6,D12
MR200146,"Dec 13, 2024 08:58AM",12/21/2024 09:13:00,pothole near crossing,5,37.76791964723348,-122.497930967801,Cedar Rd,email ,580.14,
MR200147,2024-01-10T02:38:52Z,2024-01-21T03:12:13Z,broken traffic light,5,37.73902573007671,-122.458049130211,Grant St,web,2005.48,D06
MR200148,06/29/2024,2024-07-05T14:24:03Z,Pothole Near Crossing,4,37.758529516344105,-122.388485821793,,phone,484.44,D08
MR200149,"Apr 29, 2025 11:02PM",2025-05-07T11:52:07Z,bus stop damage,VERY HIGH,37.79457681572916,-122.376666410137,Pine Ave,app,762.85,D12
MR200150,"Jun 07, 2025 07:55PM",,sidewalk obstruction,2,37.694064939803006,-122.532038934822,Harbor Ave,phone,278 USD,D01
MR200151,03/02/2024 08:13:06,,pothole near crossing,4,37.751,-122.4395,Pine Ave,app,463 USD,D10
MR200152,"Sep 29, 2024 01:02PM",2024-10-03T00:47:36Z,bus stop damage,3,37.699,-122.5183,Market St,app,1223.43,D01
MR200153,07/29/2024 11:41:00,08/05/2024 15:43:26,damaged bus stop,2,38.24417747320686,-121.782258574587,Cedar Rd,app,USD 994.02,D10
MR200154,09/04/2024 20:07:00,2024-09-08T04:39:31Z,bus stop damage,2,37.72039283977741,-122.422102159412,Transit Way,,1053.47,D03
MR200155,2025-04-13T01:58:06Z,2025-04-20T11:30:12Z,blocked lane,4,37.69554683277728,-122.54996948638,Union Blvd,app,2430.8,D11
MR200156,2024-06-09T08:23:52Z,,missing sign,5,37.816345222673455,-122.38226514212,Cedar Rd,web,466.5,D12
MR200157,2025-02-09T00:58:20Z,"Feb 12, 2025 04:59PM",unsafe crossing,3,37.7086,-122.50561,Harbor Ave,email ,1653.46,D02
MR200158,11/25/2025 06:58:06,2025-11-30T05:02:59Z,sidewalk obstruction,3,37.79914668171511,-122.366419685618,River Rd,app,306.41,D12
MR200159,"Jun 06, 2025 06:57PM",2025-06-12T22:23:00Z,blocked lane,,37.70753,-122.3725,Pine Ave,phone,1565.52,D04
MR200160,08/06/2024 12:06:35,,blocked lane,3,37.810725960937916,-122.516542689335,Elm St,web,1708.53,D09
MR200161,2025-03-28T09:45:08Z,2025-04-03T15:38:38Z,blocked lane,3,37.7091056867135,-122.433720498388,Market St,phone,"~2,722",D03
MR200162,2025-03-07T12:39:37Z,03/17/2025,bus stop damage,MED ,37.699737524817614,-122.482813820631,Transit Way,phone,490.65,D02
MR200163,0000-00-00,2025-07-30T20:59:55Z,broken traffic light,5,38.52914469719243,-122.086591211242,Grant St,phone,1976.28,D08
MR200164,"Nov 20, 2024 08:57PM",,unsafe crossing,5,37.762055,-122.372,Broadway,web,1149.48,D08
MR200165,01/20/2025,2025-01-27T15:01:06Z,bus stop damage,2,37.766603,-122.421,Harbor Ave,app,550.83,D07
MR213976,02/22/2025,09/03/2025 13:09:00,pothole near crossing,3,37.70212869329415,-122.417615894968,Transit Way,phone,603.38,D03
MR200167,2025-03-06T10:07:09Z,,blocked lane,2,37.748587068424115,-122.376738568681,,email ,2353.37,D08
MR200168,2024-07-29T16:51:00Z,2024-08-03T02:27:56Z,missing sign,4,,-122.394537363182,River Rd, call center ,422.39,
MR200169,2024-11-23T16:08:32Z,2024-11-27T13:28:20Z,sidewalk obstruction,3,37.78145583376319,-122.395606896026,Hillcrest Ave,web,541.57,D08
MR200170,10/12/2025 07:29:00,2025-10-26T19:25:38Z,pothole near crossing,5,37.79358977606689,,Broadway,email,635.49,D11
MR200171,10/11/2024,,blocked lane,4,37.80874839434057,-122.401376101832,Grant St,phone,1573.43,D11
MR200172,2024-03-02T08:37:32Z,2024-03-07T11:32:05Z,BROKEN TRAFFIC LIGHT,Medium,37.706011384452644,-122.54996948638,Union Blvd,web,1156.9,D01
MR200173,06/21/2024 16:26:00,2024-07-01T01:29:31Z,broken traffic light,med,37.70538726388393,-122.3844871385,Market St,email,2459.38,D04
MR200174,10/23/2024 06:02:40,2024-10-30T14:57:00Z,blocked lane,1,37.74975511276781,-122.501611487982,Grant St,app,753.42,D06
MR200175,09/23/2024,26-09-2024 11:43,missing sign,4,37.761311345575685,-122.43710686627,Broadway,,~281,
MR200176,2024-05-11T03:59:12Z,,pothole near crossing,2,37.75207581499956,-122.482632694152,Hillcrest Ave,web,307.51,D06
MR200177,2024-06-17T12:43:41Z,,unsafe crossing,3,37.75332129718826,-122.549368811859,,app,1466.8,D05
MR200178,03/13/2024,03/16/2024 04:45:43,sidewalk obstruction,5,37.68632318470055,-122.541317275896,Transit Way,phone,USD 455.28,D01
MR200179,2024-08-22T16:31:51Z,,blocked lane, H ,37.763814,-122.37807,Cedar Rd,app,1419.37,D06
MR200180,"Apr 15, 2024 01:42AM",2024-04-21T12:19:37Z,Pothole Near Crossing,4,37.706383888902685,-122.505605705859,Broadway,email,303.87,D02
MR200181,2024-03-19T14:51:52Z,03/24/2024 04:04:00,sidewalk obstruction,3,-122.51321610113,37.70223943363319,Transit Way,web,479.78,D01
MR200182,24-08-2025 08:51,08/26/2025,bus stop damage,medium low,,-122.509740185321,Broadway,phone,~496,D01
MR200183,2025-09-18T09:26:38Z,2025-09-22T21:44:11Z,pothole near crossing,2,37.83017742532892,-122.472687440335,Market St,app,285.71,D10
MR200184,2025-07-06T08:40:23Z,2025-07-16T13:14:22Z,unsafe crossing,4,37.7783426456396,-122.501611487982,Cedar Rd,app,1360.52,D06
MR200185,2024-02-11T17:35:36Z,,missing sign,3,37.69604837697713,-122.436433364716,River Rd,phone,357.73,
MR200186,2025-09-12T20:12:57Z,,sidewalk obstruction,5,37.76549375465069,-122.395996834753,Elm St,Web Form,916.87,D08
MR200187,2024-02-03T02:34:33Z,,bus stop damage,5,37.75638,-122.370301,Union Blvd,app,773.01,D08
MR200188,2024-01-19T03:29:17Z,2024-01-23T09:04:04Z,unsafe crossing,4,37.72217776912915,-122.392514714074,Hillcrest Ave,web,"~1,323",D04
MR200189,2024-05-16T05:40:29Z,2024-05-20T03:13:43Z,sidewalk obstruction,2,37.80944337175868,-122.364727718146,Broadway,phone,204.99,D12
MR200190,"Sep 01, 2024 03:35AM",,blocked lane,4,37.71340144368419,-122.35727954391,River Rd,web,USD 994.34,D04
MR200191,08/25/2024,08/31/2024 21:24:21,blocked lane,high,37.75011298481534,-122.394064806677,Cedar Rd,web,1856.69,
MR200192,2025-11-26T00:27:01Z,05/12/2025 11:45:00,pothole near crossing,4,37.74830050267199,-122.427394335334,,web,621.24,D07
MR200193,2025-10-12T14:36:25Z,10/13/2025,bus stop damage,3,37.70396939306704,-122.411591860626,River Rd,app,1079.47,D03
MR200194,2025-06-05T22:03:13Z,,blocked lane,2,37.816281666409566,-122.500803446238,Elm St,phone,1786.35,
MR217414,05/11/2025 21:19:00,11/10/2025 05:49:00,missing sign,2,37.747,-122.38088,Transit Way,web,196.67,D08
MR200196,2025-01-17T20:51:25Z,2025-01-30T15:57:56Z,broken traffic light,5,37.69305341639298,-122.430621679009,Union Blvd,app,2191.36,D03
MR200197,"Jan 19, 2024 07:43PM",01/25/2024,unsafe crossing,4,37.81165,-122.53,Union Blvd,web,1227.28,D09
MR200198,2025-09-08T01:02:47Z,"Sep 09, 2025 03:31AM",sidewalk obstruction,4,37.74073887927288,-122.535100054191,Broadway,app,326.52,D05
MR200199,2024-03-28T09:38:12Z,2024-04-02T01:10:01Z,pothole near crossing,1,37.71274952641931,-122.416225832378,Market St,app,526.47,D03
